      ra          dec            significance
      350.212     -54.8969       3.9936700
      358.853     -50.4858       3.9845960
      344.560     -58.4846       3.9843428
      348.854     -51.9071       3.9839318
      354.540     -49.7090       3.9796293
      353.683     -59.8930       3.9756243
      356.857     -56.5887       3.9749801
      356.824     -53.8574       3.9743562
      344.662     -53.2690       3.9725890
      348.540     -52.7493       3.9700277
      353.070     -58.8798       3.9692445
      345.914     -56.7263       3.9669158
      347.394     -54.6901       3.9634051
      349.684     -56.2848       3.9602332
      350.330     -50.8675       3.9555750
      358.600     -54.2777       3.9524648
      351.668     -54.9937       3.9507954
      350.957     -51.6558       3.9501140
      352.218     -54.0475       3.9485340
      348.140     -51.8015       3.9434619
      356.453     -54.0487       3.9420588
      358.645     -54.6183       3.9391744
      345.901     -58.2399       3.9364457
      345.801     -49.8301       3.9360275
      350.014     -57.5780       3.9348676
      353.468     -54.7715       3.9294357
      359.223     -55.5557       3.9245069
      351.401     -53.2729       3.9230707
      356.260     -52.5955       3.9187398
      350.472     -51.7440       3.9166455
      348.291     -54.8174       3.9132662
      354.994     -57.2410       3.9079101
      349.070     -52.3412       3.9061775
      354.870     -51.3876       3.9041455
      349.985     -56.1145       3.8992290
      359.479     -56.4188       3.8963854
      357.834     -58.0227       3.8962264
      355.319     -51.0681       3.8946881
      345.361     -52.5390       3.8938184
      344.916     -59.9201       3.8811674
      352.535     -59.8707       3.8763082
      350.903     -51.9448       3.8742125
      355.697     -52.1206       3.8735652
      346.638     -56.8090       3.8712134
      358.543     -50.3959       3.8681619
      345.723     -52.6129       3.8633881
      346.259     -57.3237       3.8598154
      345.599     -49.7370       3.8551588
      359.124     -51.9932       3.8475108
      358.848     -56.3906       3.8463421
     0.364532     -57.3097       3.8405383
      350.054     -58.1296       3.8365502
      345.319     -57.6199       3.8308668
      352.166     -59.4888       3.8302405
      353.971     -56.2901       3.8174736
      358.781     -60.0416       3.8156474
      345.748     -54.2076       3.8149967
      351.127     -56.0296       3.8144634
      357.048     -58.3681       3.8143976
      346.611     -55.9999       3.8129125
      352.665     -50.0311       3.8100462
      354.659     -51.9291       3.8071666
      355.434     -51.6426       3.8048670
      349.163     -55.5663       3.7988224
      358.746     -53.4240       3.7962487
      349.822     -51.8414       3.7948198
      344.931     -55.7438       3.7883024
      353.973     -57.4115       3.7876704
      353.975     -53.8590       3.7826791
      345.166     -49.8298       3.7817881
      355.550     -55.0441       3.7800224
      345.662     -54.0917       3.7797067
      351.601     -58.6949       3.7625523
      357.461     -49.8790       3.7565105
      352.203     -51.7464       3.7520154
      350.597     -51.6449       3.7519364
      356.759     -56.2899       3.7488472
      357.794     -58.9770       3.7447507
      355.653     -54.0908       3.7441607
      345.401     -53.4562       3.7407889
      345.982     -52.6648       3.7377672
      349.728     -50.1939       3.7354865
      347.977     -58.3319       3.7328386
      357.396     -55.3272       3.7292008
      356.238     -56.5294       3.7230487
      355.752     -55.3659       3.7227085
      345.893     -57.6364       3.7188313
      357.923     -52.8891       3.7134895
      352.732     -55.9724       3.7106175
      355.166     -54.8120       3.7042508
      356.040     -60.0073       3.7029374
      356.094     -52.5471       3.7011015
      355.306     -55.0573       3.7009704
      348.790     -56.3427       3.6934521
      356.153     -53.5374       3.6894174
      359.785     -54.3904       3.6892502
      359.267     -53.7481       3.6883452
      353.860     -54.5832       3.6880538
      352.005     -55.8451       3.6878684
      348.251     -54.7270       3.6868215
      359.148     -53.7949       3.6786695
      357.880     -50.5794       3.6785522
      350.852     -49.6986       3.6746988
      354.648     -52.0720       3.6589363
      351.517     -50.9708       3.6561756
      357.454     -51.5562       3.6548879
      354.190     -50.3140       3.6541581
      347.049     -50.3022       3.6531487
      353.366     -52.2601       3.6500621
     0.333923     -51.8275       3.6497664
      350.528     -50.1335       3.6492243
      353.860     -56.4181       3.6409886
      358.099     -51.1474       3.6405549
      348.206     -57.9780       3.6359134
      358.849     -55.2485       3.6253171
      351.427     -53.4812       3.6233921
      351.086     -52.0984       3.6225977
      358.341     -50.1640       3.6188648
      349.579     -50.6178       3.6173179
      349.065     -51.9888       3.6093297
      359.180     -57.3539       3.6087999
      352.943     -53.9917       3.6070404
      355.472     -53.1373       3.6067827
      357.681     -50.7367       3.6059599
      359.990     -52.0625       3.5995421
      353.682     -59.6500       3.5955825
      351.055     -58.2194       3.5941372
      356.891     -51.5729       3.5933177
      352.408     -59.6582       3.5930080
      356.931     -59.6000       3.5912952
      352.168     -54.1740       3.5912712
      351.030     -57.8169       3.5879903
      345.762     -57.7643       3.5869393
      345.692     -50.9819       3.5851064
     0.338013     -52.2609       3.5826118
      354.291     -54.3715       3.5825598
      345.922     -58.4641       3.5810430
      354.942     -50.1562       3.5806451
      348.488     -57.7963       3.5797837
      356.531     -49.9529       3.5797267
      345.343     -57.9468       3.5780454
      355.197     -53.6626       3.5757732
      358.599     -49.7025       3.5756891
      359.993     -59.1630       3.5738606
      358.177     -60.3893       3.5693705
      345.807     -51.4319       3.5657098
      359.478     -57.6882       3.5646517
      358.062     -58.7818       3.5641546
      349.316     -57.4276       3.5636892
      357.145     -58.1410       3.5634749
      345.804     -51.7623       3.5622883
      352.787     -55.3702       3.5621262
      353.471     -53.5480       3.5611331
      350.436     -56.2042       3.5584157
      344.673     -56.2146       3.5579014
      354.501     -58.3629       3.5563116
      347.374     -58.5131       3.5544572
      351.851     -50.4116       3.5538583
      347.531     -54.7579       3.5523040
      357.325     -50.4188       3.5517695
      358.044     -58.2433       3.5512536
      350.600     -53.1900       3.5493510
      345.194     -57.9174       3.5481868
      359.066     -54.5659       3.5468297
      357.260     -51.2865       3.5418673
      346.832     -56.0771       3.5392685
      359.819     -57.8291       3.5377989
      354.318     -49.6752       3.5338397
      356.881     -54.7799       3.5318336
      348.556     -54.1729       3.5311155
      353.474     -57.7755       3.5286775
      348.980     -51.4629       3.5274730
      346.668     -59.5721       3.5274360
      359.885     -56.7229       3.5265231
      354.140     -52.9479       3.5246727
      348.291     -54.3666       3.5234437
      348.861     -58.8603       3.5198858
      354.965     -56.3980       3.5195258
      350.754     -50.0817       3.5151138
      347.344     -57.3227       3.5150716
      344.647     -59.5042       3.5146244
      356.860     -57.0871       3.5135663
      359.051     -60.2185       3.5134091
      354.410     -60.3896       3.5130293
      349.451     -50.0912       3.5121574
      352.658     -52.4213       3.5120897
      346.008     -51.8360       3.5086389
      346.432     -51.8222       3.5068138
      359.322     -59.2571       3.5065248
      345.930     -55.9875       3.5020494
      346.043     -58.1766       3.5002465
      346.053     -51.3378       3.4999640
      356.103     -56.9218       3.4990332
      346.619     -52.3390       3.4974864
      350.205     -50.9736       3.4905396
      354.864     -52.1433       3.4904451
      351.078     -56.2285       3.4897816
      346.953     -56.4828       3.4873245
      345.469     -52.2043       3.4868329
      350.376     -54.3093       3.4849360
      348.116     -50.9729       3.4847043
      357.900     -51.3928       3.4842911
      347.603     -52.7437       3.4835124
      357.592     -51.1249       3.4826515
      349.403     -55.4104       3.4817743
      357.951     -56.3459       3.4810197
      350.679     -49.7366       3.4805186
      354.090     -56.0058       3.4800766
      355.994     -54.0216       3.4800115
      358.424     -50.6549       3.4788671
      349.727     -55.9676       3.4779513
      348.072     -50.4166       3.4777448
      352.955     -50.5215       3.4763925
      355.171     -58.8225       3.4717214
      351.690     -50.0720       3.4703343
      350.830     -58.3146       3.4693310
      349.934     -50.1493       3.4681792
      350.160     -54.3266       3.4665616
      348.821     -49.6592       3.4640512
      346.706     -57.5025       3.4638417
      347.279     -49.6733       3.4637623
      352.193     -51.9251       3.4618282
      348.112     -52.4374       3.4615359
      346.797     -56.7900       3.4599161
      344.384     -57.5424       3.4584877
      352.191     -58.2401       3.4554658
      352.541     -55.0359       3.4545822
      345.555     -49.6791       3.4545283
      354.157     -52.7414       3.4534740
      355.199     -57.4975       3.4526887
      353.617     -58.3737       3.4516454
      347.477     -50.9375       3.4496808
      358.800     -49.7687       3.4491959
      357.090     -54.0843       3.4487798
      351.064     -50.7752       3.4472225
      352.318     -55.2747       3.4471710
      354.285     -60.1521       3.4464335
      352.949     -53.0169       3.4461107
      351.345     -60.0535       3.4446776
      351.751     -55.4146       3.4433823
      352.028     -58.2854       3.4418216
      351.218     -51.2485       3.4413245
      359.884     -55.6307       3.4399757
      353.724     -55.2963       3.4396870
      355.428     -56.6625       3.4368823
      356.564     -58.3099       3.4368722
      357.824     -58.0807       3.4339850
      355.420     -59.2451       3.4319868
      357.689     -55.2201       3.4307313
      359.339     -54.9783       3.4294143
      348.377     -51.8354       3.4293272
      347.092     -51.9237       3.4276721
      358.626     -51.7379       3.4270179
      354.558     -55.6578       3.4264297
      353.492     -53.7827       3.4249897
      352.081     -50.8152       3.4219568
      358.697     -59.2458       3.4203606
      357.767     -54.9405       3.4203479
      354.600     -52.2618       3.4176877
      352.286     -53.3110       3.4162090
      359.569     -54.9846       3.4149678
     0.181702     -59.1499       3.4134588
      347.267     -55.6021       3.4124103
      353.461     -52.1110       3.4123085
      355.861     -56.0437       3.4111307
      359.610     -58.0441       3.4083128
      357.773     -52.3734       3.4077232
      353.439     -59.6305       3.4071076
      347.883     -49.7507       3.4059939
      359.217     -51.4434       3.4058590
      351.472     -57.7791       3.4041059
      351.366     -50.6285       3.4017007
      357.934     -55.2896       3.4010813
      355.681     -55.9651       3.3986146
      355.760     -57.8442       3.3980520
      357.530     -54.3928       3.3972950
      355.386     -57.6604       3.3954031
